,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
98,1464,Shirley,MA,Boston,Middlesex,10055,339500.0,349846.92,0.03,359638.6,0.06,368848.64,0.09,377846.37,0.11,386767.27,0.14,395660.36,0.17,404543.36,0.19,413422.72,0.22,422300.76,0.24,431178.32,0.27
99,1468,Templeton,MA,Worcester,Worcester,11579,210100.0,216090.83,0.03,221606.2,0.05,226951.51,0.08,232216.34,0.11,237443.07,0.13,242651.77,0.15,247851.95,0.18,253048.09,0.2,258242.31,0.23,263435.64,0.25
100,1469,Townsend,MA,Boston,Middlesex,9714,287000.0,288215.95,0.0,293174.69,0.02,299281.8,0.04,305736.5,0.07,312296.68,0.09,318888.87,0.11,325490.78,0.13,332095.63,0.16,338701.38,0.18,345307.4,0.2
101,1473,Westminster,MA,Worcester,Worcester,9417,278500.0,288253.66,0.04,296845.57,0.07,304992.95,0.1,312931.38,0.12,320772.46,0.15,328568.18,0.18,336342.77,0.21,344107.52,0.24,351867.67,0.26,359625.69,0.29
102,1474,Townsend,MA,Boston,Middlesex,13974,295200.0,296283.57,0.0,301710.38,0.02,308411.47,0.04,315452.97,0.07,322585.65,0.09,329742.76,0.12,336906.41,0.14,344071.81,0.17,351237.69,0.19,358403.68,0.21
103,1475,Winchendon,MA,Worcester,Worcester,8592,203700.0,206284.46,0.01,210565.31,0.03,215289.07,0.06,220114.67,0.08,224963.73,0.1,229818.2,0.13,234673.91,0.15,239529.91,0.18,244385.98,0.2,249242.06,0.22
104,1501,Auburn,MA,Worcester,Worcester,6397,264700.0,275075.93,0.04,284096.73,0.07,292269.09,0.1,300005.17,0.13,307513.47,0.16,314902.94,0.19,322230.42,0.22,329525.55,0.24,336803.8,0.27,344073.26,0.3
105,1503,Berlin,MA,Worcester,Worcester,12427,431300.0,441931.61,0.02,453120.29,0.05,464485.03,0.08,475896.48,0.1,487319.78,0.13,498746.05,0.16,510173.08,0.18,521600.29,0.21,533027.54,0.24,544454.81,0.26
106,1504,Blackstone,MA,Worcester,Worcester,8906,292100.0,286718.53,-0.02,291068.62,-0.0,297617.6,0.02,304565.07,0.04,311584.0,0.07,318615.74,0.09,325649.79,0.11,332684.25,0.14,339718.78,0.16,346753.32,0.19
107,1505,Boylston,MA,Worcester,Worcester,11143,391300.0,392353.55,0.0,400654.15,0.02,410199.66,0.05,419944.96,0.07,429722.1,0.1,439504.3,0.12,449287.32,0.15,459070.46,0.17,468853.62,0.2,478636.79,0.22
108,1506,Brookfield,MA,Worcester,Worcester,11931,233200.0,243779.76,0.05,250261.39,0.07,256304.9,0.1,262302.43,0.12,268295.14,0.15,274287.34,0.18,280279.49,0.2,286271.64,0.23,292263.78,0.25,298255.93,0.28
109,1507,Charlton,MA,Worcester,Worcester,7839,304300.0,323984.95,0.06,338155.7,0.11,349531.83,0.15,359591.63,0.18,369031.6,0.21,378179.71,0.24,387190.37,0.27,396136.3,0.3,405051.77,0.33,413952.88,0.36
110,1510,Clinton,MA,Worcester,Worcester,6628,271000.0,286699.79,0.06,296500.41,0.09,304647.66,0.12,312325.3,0.15,319869.53,0.18,327375.85,0.21,334871.4,0.24,342363.9,0.26,349855.53,0.29,357346.91,0.32
111,1515,East Brookfield,MA,Worcester,Worcester,13461,237000.0,256296.37,0.08,268196.3,0.13,277083.77,0.17,284740.06,0.2,291892.48,0.23,298838.67,0.26,305700.46,0.29,312527.71,0.32,319340.81,0.35,326148.13,0.38
112,1516,Douglas,MA,Worcester,Worcester,9292,326200.0,339090.32,0.04,350497.55,0.07,360977.99,0.11,371005.59,0.14,380813.14,0.17,390513.75,0.2,400162.41,0.23,409785.81,0.26,419396.95,0.29,429002.13,0.32
113,1518,Fiskdale,MA,Worcester,Worcester,12118,307100.0,310435.68,0.01,316301.04,0.03,323366.31,0.05,330928.03,0.08,338694.23,0.1,346544.66,0.13,354429.77,0.15,362329.18,0.18,370234.47,0.21,378142.18,0.23
114,1519,Grafton,MA,Worcester,Worcester,9867,437500.0,440360.28,0.01,447359.91,0.02,456488.95,0.04,466658.59,0.07,477337.22,0.09,488264.82,0.12,499314.22,0.14,510423.19,0.17,521561.3,0.19,532713.67,0.22
115,1520,Holden,MA,Worcester,Worcester,7004,314300.0,319186.81,0.02,325907.02,0.04,333483.08,0.06,341411.87,0.09,349486.43,0.11,357621.24,0.14,365780.96,0.16,373950.98,0.19,382125.25,0.22,390301.28,0.24
116,1521,Holland,MA,Springfield,Hampden,12910,214100.0,212045.27,-0.01,214756.09,0.0,218803.31,0.02,223203.63,0.04,227697.34,0.06,232215.76,0.08,236740.71,0.11,241267.39,0.13,245794.52,0.15,250321.78,0.17
117,1522,Holden,MA,Worcester,Worcester,12199,330200.0,348111.89,0.05,361448.5,0.09,372460.68,0.13,382381.43,0.16,391789.97,0.19,400958.12,0.21,410013.44,0.24,419015.81,0.27,427993.34,0.3,436959.2,0.32
118,1523,Lancaster,MA,Worcester,Worcester,10314,341500.0,350521.3,0.03,359420.84,0.05,368440.88,0.08,377494.25,0.11,386560.02,0.13,395630.25,0.16,404702.08,0.19,413774.49,0.21,422847.1,0.24,431919.78,0.26
119,1524,Leicester,MA,Worcester,Worcester,10064,247000.0,250741.29,0.02,255503.36,0.03,260886.05,0.06,266552.14,0.08,272346.77,0.1,278199.68,0.13,284079.03,0.15,289970.36,0.17,295867.13,0.2,301766.37,0.22
120,1527,Millbury,MA,Worcester,Worcester,7235,279200.0,290606.04,0.04,299660.46,0.07,307786.79,0.1,315490.08,0.13,323000.86,0.16,330424.03,0.18,337807.33,0.21,345172.48,0.24,352529.38,0.26,359882.52,0.29
121,1529,Millville,MA,Worcester,Worcester,12859,321200.0,313788.21,-0.02,315636.06,-0.02,321004.08,-0.0,327685.27,0.02,334856.5,0.04,342210.6,0.07,349632.94,0.09,357080.75,0.11,364538.07,0.13,371998.93,0.16
122,1532,Northborough,MA,Worcester,Worcester,7057,441800.0,453816.29,0.03,465833.41,0.05,477811.02,0.08,489772.03,0.11,501726.41,0.14,513678.16,0.16,525628.86,0.19,537579.13,0.22,549529.25,0.24,561479.29,0.27
123,1534,Northbridge,MA,Worcester,Worcester,10369,343000.0,356542.11,0.04,367516.44,0.07,377382.77,0.1,386808.82,0.13,396056.94,0.15,405233.45,0.18,414381.13,0.21,423517.2,0.23,432648.6,0.26,441778.11,0.29
124,1535,North Brookfield,MA,Worcester,Worcester,11055,220800.0,238977.73,0.08,249173.63,0.13,256658.39,0.16,263239.39,0.19,269519.26,0.22,275698.8,0.25,281844.91,0.28,287979.88,0.3,294111.14,0.33,300241.17,0.36
125,1536,Grafton,MA,Worcester,Worcester,9594,349500.0,348394.47,-0.0,354971.9,0.02,363337.91,0.04,372061.59,0.06,380856.65,0.09,389665.95,0.11,398478.1,0.14,407290.82,0.17,416103.65,0.19,424916.5,0.22
126,1537,Oxford,MA,Worcester,Worcester,12968,247200.0,250712.87,0.01,255625.54,0.03,261219.03,0.06,267056.39,0.08,272977.6,0.1,278927.45,0.13,284887.08,0.15,290850.06,0.18,296814.18,0.2,302778.69,0.22
127,1540,Oxford,MA,Worcester,Worcester,8208,242000.0,245574.79,0.01,250602.42,0.04,256132.5,0.06,261863.88,0.08,267674.51,0.11,273516.36,0.13,279370.5,0.15,285229.49,0.18,291090.39,0.2,296952.04,0.23
128,1541,Princeton,MA,Worcester,Worcester,12358,363900.0,367964.64,0.01,375173.95,0.03,383243.78,0.05,391466.52,0.08,399716.13,0.1,407970.47,0.12,416225.64,0.14,424480.96,0.17,432736.3,0.19,440991.64,0.21
129,1542,Leicester,MA,Worcester,Worcester,13655,256300.0,253958.11,-0.01,256352.42,0.0,260708.76,0.02,265861.59,0.04,271338.17,0.06,276946.34,0.08,282608.0,0.1,288291.41,0.12,293983.65,0.15,299679.48,0.17
130,1545,Shrewsbury,MA,Worcester,Worcester,2212,439400.0,460555.45,0.05,476854.12,0.09,491080.67,0.12,504460.89,0.15,517495.92,0.18,530390.17,0.21,543227.0,0.24,556040.41,0.27,568844.26,0.29,581644.22,0.32
131,1550,Southbridge,MA,Worcester,Worcester,6159,200100.0,204357.67,0.02,208742.55,0.04,213292.08,0.07,217905.5,0.09,222543.58,0.11,227191.16,0.14,231842.42,0.16,236495.09,0.18,241148.31,0.21,245801.74,0.23
132,1560,Grafton,MA,Worcester,Worcester,11172,427100.0,433443.08,0.01,442497.64,0.04,452971.38,0.06,464072.6,0.09,475454.48,0.11,486961.93,0.14,498525.55,0.17,510114.3,0.19,521714.29,0.22,533319.3,0.25
133,1562,Spencer,MA,Worcester,Worcester,7759,240100.0,258237.82,0.08,270467.98,0.13,279862.12,0.17,287922.71,0.2,295356.63,0.23,302496.07,0.26,309497.13,0.29,316433.16,0.32,323338.63,0.35,330229.74,0.38
134,1564,Sterling,MA,Worcester,Worcester,9435,347000.0,365439.8,0.05,378950.07,0.09,390189.71,0.12,400427.61,0.15,410223.82,0.18,419825.3,0.21,429340.91,0.24,438818.67,0.26,448279.73,0.29,457733.44,0.32
135,1566,Sturbridge,MA,Worcester,Worcester,9600,283000.0,292028.47,0.03,299960.69,0.06,307411.57,0.09,314649.7,0.11,321793.83,0.14,328896.42,0.16,335980.67,0.19,343056.81,0.21,350129.36,0.24,357200.33,0.26
136,1568,Upton,MA,Worcester,Worcester,9645,441900.0,459167.57,0.04,473873.19,0.07,486924.1,0.1,499202.58,0.13,511116.2,0.16,522857.29,0.18,534516.81,0.21,546137.75,0.24,557740.47,0.26,569334.57,0.29
137,1569,Uxbridge,MA,Worcester,Worcester,7566,327400.0,329343.14,0.01,334601.53,0.02,341700.45,0.04,349672.18,0.07,358060.45,0.09,366647.43,0.12,375329.19,0.15,384056.15,0.17,392804.66,0.2,401563.47,0.23
138,1571,Dudley,MA,Worcester,Worcester,8320,259100.0,270646.72,0.04,279147.5,0.08,286605.93,0.11,293711.18,0.13,300696.66,0.16,307641.5,0.19,314572.57,0.21,321498.97,0.24,328423.77,0.27,335348.05,0.29
