,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
0,1001,Agawam,MA,Springfield,Hampden,5851,223600.0,229255.48,0.03,234222.12,0.05,239069.13,0.07,243895.36,0.09,248717.98,0.11,253539.98,0.13,258361.87,0.16,263183.74,0.18,268005.6,0.2,272827.47,0.22
1,1002,Amherst,MA,Springfield,Hampshire,4200,353300.0,370474.72,0.05,380605.82,0.08,389548.4,0.1,398290.43,0.13,406998.62,0.15,415701.1,0.18,424402.62,0.2,433103.97,0.23,441805.3,0.25,450506.62,0.28
2,1005,Barre,MA,Worcester,Worcester,11214,220700.0,230633.9,0.05,236658.91,0.07,242241.62,0.1,247774.27,0.12,253301.26,0.15,258827.61,0.17,264353.89,0.2,269880.15,0.22,275406.42,0.25,280932.69,0.27
3,1007,Belchertown,MA,Springfield,Hampshire,6851,270600.0,274875.61,0.02,280602.35,0.04,286471.79,0.06,292355.26,0.08,298240.11,0.1,304125.09,0.12,310010.09,0.15,315895.09,0.17,321780.09,0.19,327665.08,0.21
4,1008,Blandford,MA,Springfield,Hampden,14548,214200.0,225322.35,0.05,230040.8,0.07,234682.57,0.1,239323.42,0.12,243964.26,0.14,248605.1,0.16,253245.94,0.18,257886.78,0.2,262527.62,0.23,267168.46,0.25
5,1010,Brimfield,MA,Springfield,Hampden,11703,250900.0,265003.1,0.06,272051.06,0.08,278506.3,0.11,284911.73,0.14,291312.99,0.16,297713.89,0.19,304114.76,0.21,310515.63,0.24,316916.5,0.26,323317.37,0.29
6,1011,Chester,MA,Springfield,Hampden,14476,149100.0,150926.52,0.01,153654.52,0.03,156394.77,0.05,159135.18,0.07,161875.6,0.09,164616.02,0.1,167356.43,0.12,170096.85,0.14,172837.27,0.16,175577.68,0.18
7,1013,Chicopee,MA,Springfield,Hampden,4569,177400.0,181259.48,0.02,185231.87,0.04,189213.58,0.07,193196.06,0.09,197178.6,0.11,201161.15,0.13,205143.69,0.16,209126.24,0.18,213108.79,0.2,217091.34,0.22
8,1020,Chicopee,MA,Springfield,Hampden,2695,189800.0,192805.04,0.02,196748.15,0.04,200783.87,0.06,204828.73,0.08,208874.5,0.1,212920.35,0.12,216966.21,0.14,221012.07,0.16,225057.94,0.19,229103.8,0.21
9,1027,Easthampton,MA,Springfield,Hampshire,5268,254900.0,257582.63,0.01,263054.81,0.03,268827.01,0.05,274631.47,0.08,280439.4,0.1,286247.71,0.12,292056.05,0.15,297864.4,0.17,303672.75,0.19,309481.11,0.21
