,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
0,1001,Agawam,MA,Springfield,Hampden,5851,223600.0,228088.51,0.02,232801.73,0.04,237536.32,0.06,242275.19,0.08,247014.92,0.1,251754.84,0.13,256494.78,0.15,261234.73,0.17,265974.69,0.19,270714.64,0.21
1,1002,Amherst,MA,Springfield,Hampshire,4200,353300.0,367524.65,0.04,376853.18,0.07,385553.82,0.09,394173.97,0.12,402783.8,0.14,411392.31,0.16,420000.64,0.19,428608.96,0.21,437217.27,0.24,445825.59,0.26
2,1005,Barre,MA,Worcester,Worcester,11214,220700.0,230173.95,0.04,236433.18,0.07,242109.93,0.1,247682.58,0.12,253236.62,0.15,258787.34,0.17,264337.47,0.2,269887.49,0.22,275437.49,0.25,280987.48,0.27
3,1007,Belchertown,MA,Springfield,Hampshire,6851,270600.0,274183.99,0.01,278811.92,0.03,283624.53,0.05,288558.55,0.07,293572.18,0.08,298638.0,0.1,303738.04,0.12,308860.52,0.14,313997.7,0.16,319144.52,0.18
4,1008,Blandford,MA,Springfield,Hampden,14548,214200.0,224633.24,0.05,231178.97,0.08,236351.25,0.1,241131.58,0.13,245799.79,0.15,250435.92,0.17,255062.86,0.19,259687.17,0.21,264310.73,0.23,268934.07,0.26
5,1010,Brimfield,MA,Springfield,Hampden,11703,250900.0,263036.14,0.05,270242.92,0.08,276694.46,0.1,283033.53,0.13,289355.81,0.15,295675.58,0.18,301994.97,0.2,308314.31,0.23,314633.64,0.25,320952.96,0.28
6,1011,Chester,MA,Springfield,Hampden,14476,149100.0,150746.51,0.01,153466.68,0.03,156200.27,0.05,158934.02,0.07,161667.77,0.08,164401.52,0.1,167135.27,0.12,169869.02,0.14,172602.78,0.16,175336.53,0.18
7,1013,Chicopee,MA,Springfield,Hampden,4569,177400.0,183951.49,0.04,189369.58,0.07,194081.64,0.09,198451.74,0.12,202656.34,0.14,206780.83,0.17,210866.55,0.19,214933.51,0.21,218991.39,0.23,223044.86,0.26
8,1020,Chicopee,MA,Springfield,Hampden,2695,189800.0,192547.51,0.01,196252.39,0.03,200162.87,0.05,204124.54,0.08,208098.57,0.1,212075.6,0.12,216053.36,0.14,220031.29,0.16,224009.27,0.18,227987.26,0.2
9,1026,Cummington,MA,Springfield,Hampshire,14595,220800.0,222256.02,0.01,228078.4,0.03,233739.22,0.06,239399.81,0.08,245060.46,0.11,250721.1,0.14,256381.74,0.16,262042.38,0.19,267703.02,0.21,273363.66,0.24
10,1027,Easthampton,MA,Springfield,Hampshire,5268,254900.0,261917.2,0.03,268225.1,0.05,274213.62,0.08,280076.95,0.1,285891.29,0.12,291686.45,0.14,297474.1,0.17,303258.82,0.19,309042.38,0.21,314825.49,0.24
11,1028,East Longmeadow,MA,Springfield,Hampden,6542,252400.0,261669.19,0.04,267729.57,0.06,273287.88,0.08,278768.21,0.1,284236.43,0.13,289702.78,0.15,295168.83,0.17,300634.84,0.19,306100.84,0.21,311566.84,0.23
12,1030,Agawam,MA,Springfield,Hampden,7802,239300.0,243748.28,0.02,248415.31,0.04,253134.39,0.06,257886.68,0.08,262659.32,0.1,267444.44,0.12,272237.21,0.14,277034.67,0.16,281835.01,0.18,286637.12,0.2
13,1033,Granby,MA,Springfield,Hampshire,10028,247900.0,250899.46,0.01,256201.85,0.03,261714.61,0.06,267246.71,0.08,272780.6,0.1,278314.64,0.12,283848.71,0.15,289382.77,0.17,294916.84,0.19,300450.9,0.21
14,1034,Tolland,MA,Springfield,Hampden,13563,261700.0,270685.88,0.03,277790.61,0.06,284137.17,0.09,290261.33,0.11,296319.83,0.13,302358.95,0.16,308392.33,0.18,314424.03,0.2,320455.22,0.22,326486.26,0.25
15,1035,Hadley,MA,Springfield,Hampshire,10440,329200.0,338188.96,0.03,346346.79,0.05,354415.92,0.08,362472.76,0.1,370528.02,0.13,378583.08,0.15,386638.11,0.17,394693.14,0.2,402748.16,0.22,410803.19,0.25
16,1036,Hampden,MA,Springfield,Hampden,10956,263700.0,266731.22,0.01,270840.5,0.03,275348.2,0.04,280075.07,0.06,284922.78,0.08,289837.12,0.1,294788.2,0.12,299759.54,0.14,304742.05,0.16,309730.72,0.17
17,1038,Hatfield,MA,Springfield,Hampshire,12854,308800.0,306213.62,-0.01,313195.16,0.01,320880.7,0.04,328618.33,0.06,336359.81,0.09,344101.58,0.11,351843.37,0.14,359585.16,0.16,367326.95,0.19,375068.74,0.21
18,1040,Holyoke,MA,Springfield,Hampden,1789,191400.0,194546.62,0.02,198206.61,0.04,202000.44,0.06,205842.12,0.08,209700.64,0.1,213565.08,0.12,217431.6,0.14,221298.86,0.16,225166.37,0.18,229033.98,0.2
19,1050,Huntington,MA,Springfield,Hampshire,12876,204100.0,215676.44,0.06,222132.45,0.09,227226.17,0.11,231915.3,0.14,236484.48,0.16,241018.1,0.18,245541.17,0.2,250061.12,0.23,254580.14,0.25,259098.88,0.27
20,1053,Northampton,MA,Springfield,Hampshire,13643,316100.0,330632.92,0.05,339381.67,0.07,347530.76,0.1,355620.04,0.13,363703.32,0.15,371786.0,0.18,379868.62,0.2,387951.23,0.23,396033.84,0.25,404116.46,0.28
21,1054,Leverett,MA,Greenfield Town,Franklin,13772,315500.0,310613.47,-0.02,317485.11,0.01,324697.89,0.03,331920.97,0.05,339144.38,0.07,346367.79,0.1,353591.2,0.12,360814.61,0.14,368038.02,0.17,375261.44,0.19
22,1056,Ludlow,MA,Springfield,Hampden,5199,217300.0,220909.71,0.02,224500.48,0.03,228294.88,0.05,232192.32,0.07,236141.14,0.09,240115.57,0.1,244102.77,0.12,248096.34,0.14,252093.09,0.16,256091.42,0.18
23,1060,Northampton,MA,Springfield,Hampshire,6144,359800.0,366270.73,0.02,375532.5,0.04,384992.83,0.07,394467.26,0.1,403942.68,0.12,413418.18,0.15,422893.68,0.18,432369.18,0.2,441844.68,0.23,451320.18,0.25
24,1062,Northampton,MA,Springfield,Hampshire,7837,279500.0,274136.66,-0.02,278921.46,-0.0,284849.72,0.02,290905.29,0.04,296975.04,0.06,303046.37,0.08,309117.87,0.11,315189.39,0.13,321260.92,0.15,327332.44,0.17
25,1068,Oakham,MA,Worcester,Worcester,13988,270200.0,277586.01,0.03,284379.0,0.05,291103.62,0.08,297818.32,0.1,304531.57,0.13,311244.61,0.15,317957.63,0.18,324670.64,0.2,331383.64,0.23,338096.65,0.25
26,1071,Russell,MA,Springfield,Hampden,14375,216000.0,218027.47,0.01,222116.59,0.03,226319.18,0.05,230528.02,0.07,234737.2,0.09,238946.41,0.11,243155.61,0.13,247364.82,0.15,251574.03,0.16,255783.23,0.18
27,1072,Shutesbury,MA,Greenfield Town,Franklin,14362,237400.0,230173.75,-0.03,231307.8,-0.03,234924.69,-0.01,239323.61,0.01,243967.89,0.03,248689.13,0.05,253434.51,0.07,258187.46,0.09,262942.78,0.11,267698.86,0.13
28,1073,Southampton,MA,Springfield,Hampshire,10006,291700.0,289415.95,-0.01,294901.16,0.01,301099.22,0.03,307363.76,0.05,313634.51,0.08,319905.83,0.1,326177.2,0.12,332448.58,0.14,338719.96,0.16,344991.34,0.18
29,1075,South Hadley,MA,Springfield,Hampshire,6224,236600.0,244279.95,0.03,251035.6,0.06,257087.27,0.09,262709.82,0.11,268071.24,0.13,273273.74,0.16,278379.53,0.18,283426.48,0.2,288437.6,0.22,293426.94,0.24
30,1077,Southwick,MA,Springfield,Hampden,8480,250500.0,261571.14,0.04,268687.41,0.07,274892.39,0.1,280895.7,0.12,286854.38,0.15,292803.2,0.17,298749.83,0.19,304695.98,0.22,310642.02,0.24,316588.04,0.26
31,1081,Wales,MA,Springfield,Hampden,13892,202600.0,207112.3,0.02,211534.33,0.04,215973.38,0.07,220414.43,0.09,224855.74,0.11,229297.08,0.13,233738.42,0.15,238179.76,0.18,242621.11,0.2,247062.45,0.22
32,1082,Ware,MA,Springfield,Hampshire,7949,183800.0,189209.21,0.03,192991.98,0.05,196528.23,0.07,200026.86,0.09,203519.74,0.11,207011.74,0.13,210503.6,0.15,213995.45,0.16,217487.29,0.18,220979.14,0.2
33,1083,Warren,MA,Worcester,Worcester,12656,197400.0,196896.84,-0.0,198866.57,0.01,201955.95,0.02,205497.9,0.04,209220.93,0.06,213016.38,0.08,216840.8,0.1,220676.79,0.12,224517.41,0.14,228359.89,0.16
34,1085,Westfield,MA,Springfield,Hampden,1572,251200.0,255523.57,0.02,260687.3,0.04,266003.01,0.06,271355.18,0.08,276716.02,0.1,282078.92,0.12,287442.31,0.14,292805.82,0.17,298169.36,0.19,303532.9,0.21
35,1089,West Springfield,MA,Springfield,Hampden,3177,218000.0,227836.48,0.05,234139.74,0.07,239428.61,0.1,244432.57,0.12,249356.35,0.14,254257.56,0.17,259152.42,0.19,264045.49,0.21,268938.06,0.23,273830.49,0.26
36,1092,Warren,MA,Worcester,Worcester,14513,191400.0,195540.85,0.02,199584.87,0.04,203630.78,0.06,207677.39,0.09,211724.13,0.11,215770.9,0.13,219817.67,0.15,223864.44,0.17,227911.21,0.19,231957.98,0.21
37,1095,Wilbraham,MA,Springfield,Hampden,7132,283900.0,295996.21,0.04,305484.02,0.08,313260.91,0.1,320090.21,0.13,326399.62,0.15,332423.86,0.17,338291.69,0.19,344073.71,0.21,349808.68,0.23,355517.83,0.25
38,1096,Williamsburg,MA,Springfield,Hampshire,12805,248100.0,256725.7,0.03,262968.97,0.06,269036.69,0.08,275092.3,0.11,281147.08,0.13,287201.79,0.16,293256.5,0.18,299311.21,0.21,305365.93,0.23,311420.64,0.26
39,1098,Worthington,MA,Springfield,Hampshire,14455,244600.0,253603.98,0.04,260106.21,0.06,265929.26,0.09,271604.69,0.11,277247.83,0.13,282883.91,0.16,288518.45,0.18,294152.64,0.2,299786.76,0.23,305420.87,0.25
40,1104,Springfield,MA,Springfield,Hampden,4929,136800.0,139450.29,0.02,142221.45,0.04,144970.28,0.06,147709.11,0.08,150443.46,0.1,153175.81,0.12,155907.27,0.14,158638.33,0.16,161369.2,0.18,164100.0,0.2
41,1106,Longmeadow,MA,Springfield,Hampden,6938,342200.0,349241.07,0.02,356439.84,0.04,363638.03,0.06,370835.99,0.08,378033.9,0.1,385231.81,0.13,392429.71,0.15,399627.62,0.17,406825.53,0.19,414023.43,0.21
42,1107,Springfield,MA,Springfield,Hampden,8329,141600.0,147092.27,0.04,151803.8,0.07,155834.11,0.1,159452.77,0.13,162822.71,0.15,166042.36,0.17,169171.2,0.19,172245.18,0.22,175286.0,0.24,178306.8,0.26
43,1108,Springfield,MA,Springfield,Hampden,4464,157400.0,169528.52,0.08,179104.65,0.14,186857.62,0.19,193380.57,0.23,199073.6,0.26,204206.63,0.3,208961.82,0.33,213462.06,0.36,217790.27,0.38,222002.42,0.41
44,1109,Springfield,MA,Springfield,Hampden,4304,127600.0,128593.37,0.01,131196.48,0.03,134055.37,0.05,136954.27,0.07,139859.42,0.1,142765.55,0.12,145671.83,0.14,148578.13,0.16,151484.44,0.19,154390.75,0.21
45,1118,Springfield,MA,Springfield,Hampden,7034,170500.0,177169.07,0.04,182719.4,0.07,187439.64,0.1,191719.65,0.12,195766.06,0.15,199688.52,0.17,203545.2,0.19,207366.99,0.22,211170.25,0.24,214963.68,0.26
46,1119,Springfield,MA,Springfield,Hampden,7618,159100.0,164864.06,0.04,168925.97,0.06,172729.92,0.09,176495.8,0.11,180256.05,0.13,184015.48,0.16,187774.78,0.18,191534.06,0.2,195293.35,0.23,199052.63,0.25
47,1128,Springfield,MA,Springfield,Hampden,13001,185900.0,194801.79,0.05,202343.05,0.09,208753.07,0.12,214454.86,0.15,219713.29,0.18,224694.19,0.21,229501.35,0.23,234199.74,0.26,238830.05,0.28,243417.74,0.31
48,1129,Springfield,MA,Springfield,Hampden,9534,175400.0,179719.45,0.02,183685.53,0.05,187581.86,0.07,191467.44,0.09,195351.37,0.11,199235.04,0.14,203118.68,0.16,207002.31,0.18,210885.94,0.2,214769.57,0.22
49,1151,Springfield,MA,Springfield,Hampden,8793,133600.0,133497.15,-0.0,135846.84,0.02,138542.42,0.04,141288.09,0.06,144041.01,0.08,146794.99,0.1,149549.12,0.12,152303.27,0.14,155057.43,0.16,157811.58,0.18
50,1201,Pittsfield,MA,Pittsfield,Berkshire,523,157200.0,159033.05,0.01,161252.97,0.03,163626.38,0.04,166083.59,0.06,168586.57,0.07,171114.52,0.09,173656.1,0.1,176205.13,0.12,178758.22,0.14,181313.53,0.15
51,1220,Adams,MA,Pittsfield,Berkshire,8528,132600.0,138674.78,0.05,142265.73,0.07,144924.29,0.09,147189.36,0.11,149288.18,0.13,151316.76,0.14,153315.68,0.16,155302.06,0.17,157283.14,0.19,159261.99,0.2
52,1223,Becket,MA,Pittsfield,Berkshire,12348,208600.0,209955.33,0.01,214583.35,0.03,219373.12,0.05,224171.22,0.07,228969.76,0.1,233768.32,0.12,238566.89,0.14,243365.45,0.17,248164.01,0.19,252962.57,0.21
53,1225,Cheshire,MA,Pittsfield,Berkshire,12024,192100.0,202719.26,0.06,207591.49,0.08,211386.6,0.1,214983.71,0.12,218544.46,0.14,222098.53,0.16,225651.36,0.17,229203.98,0.19,232756.55,0.21,236309.11,0.23
54,1226,Dalton,MA,Pittsfield,Berkshire,9809,179100.0,180313.44,0.01,182782.92,0.02,185443.85,0.04,188202.92,0.05,191012.38,0.07,193847.71,0.08,196696.31,0.1,199551.73,0.11,202410.65,0.13,205271.37,0.15
55,1230,Great Barrington,MA,Pittsfield,Berkshire,8583,338700.0,359520.81,0.06,369886.15,0.09,379676.02,0.12,389434.71,0.15,399191.71,0.18,408948.62,0.21,418705.53,0.24,428462.43,0.27,438219.33,0.29,447976.24,0.32
56,1235,Hinsdale,MA,Pittsfield,Berkshire,12160,192300.0,199496.4,0.04,203818.76,0.06,208120.36,0.08,212421.8,0.1,216723.25,0.13,221024.69,0.15,225326.13,0.17,229627.58,0.19,233929.02,0.22,238230.47,0.24
57,1238,Lee,MA,Pittsfield,Berkshire,9576,234500.0,235790.84,0.01,240435.18,0.03,245400.54,0.05,250397.24,0.07,255397.01,0.09,260397.07,0.11,265397.16,0.13,270397.25,0.15,275397.35,0.17,280397.44,0.2
