,Zip,City,State,Metro,CountyName,SizeRank,2018-04-01,1_Year,1_Gain,2_Year,2_Gain,3_Year,3_Gain,4_Year,4_Gain,5_Year,5_Gain,6_Year,6_Gain,7_Year,7_Gain,8_Year,8_Gain,9_Year,9_Gain,10_Year,10_Gain
0,1001,Agawam,MA,Springfield,Hampden,5851,223600.0,228007.34,0.02,232698.84,0.04,237330.68,0.06,241936.88,0.08,246532.07,0.1,251122.53,0.12,255710.95,0.14,260298.5,0.16,264885.68,0.18,269472.69,0.21
1,1002,Amherst,MA,Springfield,Hampshire,4200,353300.0,371533.37,0.05,383994.76,0.09,394106.87,0.12,403327.09,0.14,412208.71,0.17,420961.77,0.19,429666.04,0.22,438351.77,0.24,447030.47,0.27,455706.5,0.29
2,1005,Barre,MA,Worcester,Worcester,11214,220700.0,233987.2,0.06,244116.51,0.11,252374.41,0.14,259605.39,0.18,266272.83,0.21,272631.05,0.24,278819.57,0.26,284914.98,0.29,290959.29,0.32,296975.56,0.35
3,1007,Belchertown,MA,Springfield,Hampshire,6851,270600.0,275322.74,0.02,280590.95,0.04,285931.71,0.06,291313.87,0.08,296719.63,0.1,302138.86,0.12,307565.76,0.14,312997.04,0.16,318430.83,0.18,323866.03,0.2
4,1008,Blandford,MA,Springfield,Hampden,14548,214200.0,224827.76,0.05,230960.68,0.08,235983.13,0.1,240716.62,0.12,245374.91,0.15,250013.64,0.17,254647.27,0.19,259279.58,0.21,263911.55,0.23,268543.43,0.25
5,1010,Brimfield,MA,Springfield,Hampden,11703,250900.0,261666.05,0.04,269646.56,0.07,276549.08,0.1,283037.57,0.13,289367.03,0.15,295635.42,0.18,301880.34,0.2,308116.26,0.23,314348.72,0.25,320579.85,0.28
6,1011,Chester,MA,Springfield,Hampden,14476,149100.0,149660.92,0.0,151943.29,0.02,154536.88,0.04,157175.15,0.05,159819.85,0.07,162465.47,0.09,165111.21,0.11,167756.98,0.13,170402.75,0.14,173048.52,0.16
7,1013,Chicopee,MA,Springfield,Hampden,4569,177400.0,184007.99,0.04,189588.58,0.07,194430.76,0.1,198893.42,0.12,203161.03,0.15,207328.39,0.17,211444.24,0.19,215533.6,0.21,219609.36,0.24,223678.12,0.26
8,1020,Chicopee,MA,Springfield,Hampden,2695,189800.0,194682.11,0.03,199341.69,0.05,203659.22,0.07,207801.49,0.09,211853.94,0.12,215860.37,0.14,219843.22,0.16,223813.99,0.18,227778.57,0.2,231739.97,0.22
9,1026,Cummington,MA,Springfield,Hampshire,14595,220800.0,224646.34,0.02,230396.04,0.04,236145.73,0.07,241895.43,0.1,247645.13,0.12,253394.82,0.15,259144.52,0.17,264894.22,0.2,270643.91,0.23,276393.61,0.25
10,1027,Easthampton,MA,Springfield,Hampshire,5268,254900.0,260684.05,0.02,266470.84,0.05,272228.63,0.07,277976.67,0.09,283721.43,0.11,289465.1,0.14,295208.4,0.16,300951.57,0.18,306694.71,0.2,312437.83,0.23
11,1028,East Longmeadow,MA,Springfield,Hampden,6542,252400.0,263323.92,0.04,271140.55,0.07,277574.33,0.1,283412.31,0.12,288993.59,0.14,294464.28,0.17,299887.31,0.19,305289.81,0.21,310683.46,0.23,316073.31,0.25
12,1030,Agawam,MA,Springfield,Hampden,7802,239300.0,244556.82,0.02,249709.15,0.04,254777.91,0.06,259799.24,0.09,264793.66,0.11,269772.82,0.13,274743.31,0.15,279708.89,0.17,284671.67,0.19,289632.88,0.21
